{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.9806900024414
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4981038570404053
start time: 2023-11-15T20:50:20.000000000
end time: 2023-11-15T23:30:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,28.9131,35.2593
1.2000,28.8663,35.2618
2.2000,28.8919,35.2592
3.2000,28.8349,35.2584
4.2000,28.8726,35.2580
5.2000,28.9156,35.2587
6.2000,28.9355,35.2552
7.2000,29.0769,35.3653
8.2000,28.4995,35.4451
9.2000,26.7966,35.4122
10.2000,24.4255,35.4460
11.2000,22.0033,35.4344
12.2000,19.1795,35.2781
13.2000,16.7218,35.1463
14.2000,16.5162,35.1215
15.2000,16.3055,35.1070
16.2000,16.1010,35.0834
17.2000,15.7503,35.0551
18.2000,15.5257,35.0360
19.2000,15.4815,35.0240
20.2000,15.4958,35.0271
21.2000,15.4258,35.0340
22.2000,15.4374,35.0372
23.2000,15.4517,35.0398
24.2000,15.4634,35.0512
25.2000,15.4707,35.0584
26.2000,15.5196,35.0657
27.2000,15.3615,35.0480
28.2000,15.0632,35.0089
29.2000,14.8109,34.9671
30.2000,14.5464,34.9247
31.2000,14.2585,34.8820
32.2000,13.8581,34.8482
33.2000,13.5692,34.8271
34.2000,13.2442,34.8126
35.2000,12.9326,34.7961
36.2000,12.5649,34.7781
37.2000,12.2623,34.7528
38.2000,11.9654,34.7419
39.2000,11.8134,34.7459
40.2000,11.7611,34.7523
41.2000,11.6011,34.7625
42.2000,11.4538,34.7667
43.2000,11.2928,34.7732
44.2000,11.2183,34.7766
45.2000,11.0721,34.7792
46.2000,10.9092,34.7732
47.2000,10.7951,34.7653
48.2000,10.6969,34.7540
49.2000,10.5885,34.7415
50.2000,10.3647,34.7294
51.2000,10.2113,34.7133
52.2000,10.0403,34.7044
53.2000,9.9151,34.6963
54.2000,9.7771,34.6884
55.2000,9.6869,34.6838
